"=""User Id""","=""Username""","=""Comment Id""","=""Comment Text""","=""Profile URL""","=""Profile Pic URL""","=""Date"""
"=""1020313636""","=""arribasangel10""","=""18003417724576620""","=""@_delta.rp no creo q sea así, todo el mundo da su opinión pero que casualidad que añ único que funen es al xocas""","=""https://www.instagram.com/arribasangel10""","=""https://scontent-mad2-1.cdninstagram.com/v/t51.2885-19/294339372_162156662996672_6692314841026737064_n.jpg""","=""25/1/2023, 19:26:36"""
"=""49082726927""","=""_delta.rp""","=""18044473504405828""","=""@arribasangel10 pero nadie da la opinión como el, porque él si cree que alguien no es streamer del año lo dice, pero muchos otros van con """"creo"""" o con indirectas, su firmeza hace que la cague en algunas ocasiones obvio, pero también hace que lo diga tan claro que genere hate por decir lo que otros no se atreven""","=""https://www.instagram.com/_delta.rp""","=""https://scontent-mad2-1.cdninstagram.com/v/t51.2885-19/269843361_4858522184168122_1540957848206090877_n.jpg""","=""25/1/2023, 19:29:51"""
"=""57618085785""","=""cln_felix_""","=""17981314606826763""","=""Ostias skrillex y rubius""","=""https://www.instagram.com/cln_felix_""","=""https://scontent-mad2-1.cdninstagram.com/v/t51.2885-19/333176357_187786723878227_1075520457319723163_n.jpg""","=""7/2/2023, 8:09:31"""
"=""6651403861""","=""alejandra_alameda""","=""17985453043857382""","=""Xoker y un discípulo""","=""https://www.instagram.com/alejandra_alameda""","=""https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/347648307_903520144081315_7513996770307015885_n.jpg""","=""8/2/2023, 2:06:45"""
"=""51807741313""","=""chicharron_hermoso7""","=""17952454043309901""","=""Auronplay es mejor que tu""","=""https://www.instagram.com/chicharron_hermoso7""","=""https://scontent-mad2-1.cdninstagram.com/v/t51.2885-19/275016676_451847963401257_8141512353625997157_n.jpg""","=""15/2/2023, 16:53:56"""
"=""2106590015""","=""wanerkevin""","=""17952620516304139""","=""Xokas parece que vives en el ático de tú madre 💀""","=""https://www.instagram.com/wanerkevin""","=""https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/310592473_430715722498627_640906699917276360_n.jpg""","=""16/2/2023, 0:47:43"""
"=""8634748191""","=""kelogua89""","=""18235706179082587""","=""kfas con ese moinante du""","=""https://www.instagram.com/kelogua89""","=""https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/335919635_5786883651409567_7606376043613616661_n.jpg""","=""16/2/2023, 12:48:44"""
"=""46148930249""","=""martin_picos""","=""18235660444095835""","=""Olé la Estrella Galicia😂😂""","=""https://www.instagram.com/martin_picos""","=""https://scontent-mad2-1.cdninstagram.com/v/t51.2885-19/327206043_134662172807260_8943223130323705457_n.jpg""","=""20/2/2023, 19:14:30"""
"=""605932765""","=""amendozain_""","=""17945026961597142""","=""Skrillex y Ferxo""","=""https://www.instagram.com/amendozain_""","=""https://scontent-mad2-1.cdninstagram.com/v/t51.2885-19/309924279_803869680889283_7798541026963929751_n.jpg""","=""20/2/2023, 19:18:09"""
"=""3952561461""","=""pri.sakuritaaa""","=""17957070548456196""","=""parece muchisimo mas joven en fotos que en el stream, las luces del stream no lo favorecen creo (en mi humilde opinion)""","=""https://www.instagram.com/pri.sakuritaaa""","=""https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/338169381_134421776254920_8104051963446001446_n.jpg""","=""1/3/2023, 23:51:38"""
"=""50691967696""","=""iamainhoaperez""","=""18033741388455320""","=""😍""","=""https://www.instagram.com/iamainhoaperez""","=""https://scontent-fra5-1.cdninstagram.com/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg""","=""12/3/2023, 23:59:41"""
"=""1816573298""","=""fedenicoolass""","=""17978372702072619""","=""Los vivos que se cuelgan del efectivo de los seguidores para vivir sin trabajar. No sé cómo no tienen vergüenza, lmao. Más boludos los que les donan y no se enteran.""","=""https://www.instagram.com/fedenicoolass""","=""https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/278463596_677757600177493_7615183179578825474_n.jpg""","=""14/3/2023, 20:18:07"""
"=""46577912124""","=""fdfucker""","=""17974768388255720""","=""Que feos son algunos, se pongan el pelo que se pongan""","=""https://www.instagram.com/fdfucker""","=""https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/347148409_1185707565443886_7825080884201978180_n.jpg""","=""18/5/2023, 20:27:23"""
"=""31012881613""","=""camilo.weeey""","=""17953692464015283""","=""https://earn-h5s2.beauty/905809508693 registre se porfa""","=""https://www.instagram.com/camilo.weeey""","=""https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/116135238_622236252010878_7174868506287472466_n.jpg""","=""24/8/2022, 1:03:58"""
